instance,algorithm,run,elapsed_ns,macroitems
star_n200_seed1.pcf,dhfma,3,3924154,90
star_n200_seed1.pcf,hfma,4,3900669,90
star_n200_seed1.pcf,dhfma,4,3990502,90
star_n200_seed2.pcf,hfma,0,3992624,93
star_n200_seed2.pcf,dhfma,0,3913046,93
star_n200_seed2.pcf,hfma,1,3924752,93
star_n200_seed2.pcf,dhfma,1,3950838,93
star_n200_seed2.pcf,hfma,2,4002229,93
star_n200_seed2.pcf,dhfma,2,3985030,93
star_n200_seed2.pcf,hfma,3,3932558,93
star_n200_seed2.pcf,dhfma,3,3892796,93
star_n200_seed2.pcf,hfma,4,3917132,93
star_n200_seed2.pcf,dhfma,4,3889183,93
star_n500_seed0.pcf,hfma,0,29450436,234
star_n500_seed0.pcf,dhfma,0,28146560,234
star_n500_seed0.pcf,hfma,1,26724348,234
star_n500_seed0.pcf,dhfma,1,26792083,234
star_n500_seed0.pcf,hfma,2,27143102,234
star_n500_seed0.pcf,dhfma,2,26906679,234
star_n500_seed0.pcf,hfma,3,26497409,234
star_n500_seed0.pcf,dhfma,3,26565552,234
star_n500_seed0.pcf,hfma,4,26352417,234
star_n500_seed0.pcf,dhfma,4,26518875,234
star_n500_seed1.pcf,hfma,0,26869993,223
star_n500_seed1.pcf,dhfma,0,27136342,223
star_n500_seed1.pcf,hfma,1,26771892,223
star_n500_seed1.pcf,dhfma,1,27276926,223
star_n500_seed1.pcf,hfma,2,26336787,223
star_n500_seed1.pcf,dhfma,2,26467473,223
star_n500_seed1.pcf,hfma,3,26092973,223
star_n500_seed1.pcf,dhfma,3,26837288,223
star_n500_seed1.pcf,hfma,4,26270762,223
star_n500_seed1.pcf,dhfma,4,26624123,223
star_n500_seed2.pcf,hfma,0,27939557,222
star_n500_seed2.pcf,dhfma,0,27346929,222
star_n500_seed2.pcf,hfma,1,26737226,222
star_n500_seed2.pcf,dhfma,1,26868251,222
star_n500_seed2.pcf,hfma,2,26463927,222
star_n500_seed2.pcf,dhfma,2,27149935,222
star_n500_seed2.pcf,hfma,3,26534435,222
star_n500_seed2.pcf,dhfma,3,26879942,222
star_n500_seed2.pcf,hfma,4,26450327,222
star_n500_seed2.pcf,dhfma,4,26834058,222
