instance,algorithm,run,elapsed_ns,macroitems
binary_n200_seed1.pcf,hfma,4,411177,80
binary_n200_seed1.pcf,rac,4,942187,80
binary_n200_seed2.pcf,hfma,0,420529,88
binary_n200_seed2.pcf,rac,0,1058222,88
binary_n200_seed2.pcf,hfma,1,395927,88
binary_n200_seed2.pcf,rac,1,1013137,88
binary_n200_seed2.pcf,hfma,2,373348,88
binary_n200_seed2.pcf,rac,2,984918,88
binary_n200_seed2.pcf,hfma,3,421123,88
binary_n200_seed2.pcf,rac,3,1026270,88
binary_n200_seed2.pcf,hfma,4,295837,88
binary_n200_seed2.pcf,rac,4,755732,88
binary_n500_seed0.pcf,hfma,0,1384542,206
binary_n500_seed0.pcf,rac,0,2612925,206
binary_n500_seed0.pcf,hfma,1,1243994,206
binary_n500_seed0.pcf,rac,1,3097782,206
binary_n500_seed0.pcf,hfma,2,718686,206
binary_n500_seed0.pcf,rac,2,1521667,206
binary_n500_seed0.pcf,hfma,3,723624,206
binary_n500_seed0.pcf,rac,3,1513138,206
binary_n500_seed0.pcf,hfma,4,727906,206
binary_n500_seed0.pcf,rac,4,1484871,206
binary_n500_seed1.pcf,hfma,0,1257010,207
binary_n500_seed1.pcf,rac,0,2541993,207
binary_n500_seed1.pcf,hfma,1,1224592,207
binary_n500_seed1.pcf,rac,1,2977373,207
binary_n500_seed1.pcf,hfma,2,1192881,207
binary_n500_seed1.pcf,rac,2,2023341,207
binary_n500_seed1.pcf,hfma,3,849164,207
binary_n500_seed1.pcf,rac,3,1553824,207
binary_n500_seed1.pcf,hfma,4,749300,207
binary_n500_seed1.pcf,rac,4,1520104,207
binary_n500_seed2.pcf,hfma,0,1160964,202
binary_n500_seed2.pcf,rac,0,2735374,202
binary_n500_seed2.pcf,hfma,1,775256,202
binary_n500_seed2.pcf,rac,1,1682636,202
binary_n500_seed2.pcf,hfma,2,755219,202
binary_n500_seed2.pcf,rac,2,1576101,202
binary_n500_seed2.pcf,hfma,3,747500,202
binary_n500_seed2.pcf,rac,3,1550876,202
binary_n500_seed2.pcf,hfma,4,755099,202
binary_n500_seed2.pcf,rac,4,1538262,202
