idx pac hpac rac
1 0.8507 3.0771 25.7924
2 0.8481 3.0331 25.4609
3 0.8539 3.0504 25.2723
4 0.8521 3.0794 25.7650
5 0.7326 2.9225 21.2344
6 0.7055 2.8957 22.2975
