n pac hpac dhpac rac
100 0.0743 0.5648 0.5502 0.4285
200 0.2212 1.9941 1.9535 0.8149
500 1.1075 12.6242 13.1539 2.0776
1000 4.4804 62.0013 61.9612 5.1895
2000 17.5606 231.2436 226.0884 9.7230
5000 123.7462 1427.5455 1429.3752 24.7462
10000 643.0578 6898.7452 6479.7914 63.2757
20000 2890.8282 26127.0597 24619.1439 122.0739
50000 19336.1182 nan nan 291.6768
100000 77541.1361 nan nan 606.7956
