n hpac dhpac rac
10000 12.6674 13.2055 50.5155
20000 27.9902 29.8259 131.5420
30000 44.9298 47.1639 262.8159
40000 62.8807 66.9034 399.6846
50000 84.2878 92.2632 543.8745
60000 96.1428 117.8654 652.4926
70000 117.4329 141.7419 836.9515
80000 141.0552 161.5092 1027.4714
90000 164.9204 198.0508 1304.6783
100000 203.9386 214.5799 1709.3508
