idx pac hpac rac
1 70.8149 148.2230 17.2773
2 70.3934 142.4019 17.1999
3 70.0163 144.5248 17.5595
4 69.9340 150.9513 18.0799
5 50.1477 110.8745 12.5900
6 48.0615 105.7269 11.5541
