idx pac hpac rac
1 0.8224 0.3684 1.2507
2 0.8123 0.3654 1.2365
3 0.8154 0.3522 1.2125
4 0.8273 0.3583 1.2248
5 0.5926 0.3472 1.2142
6 0.5185 0.3494 1.1505
