campaign_id,instance,algorithm,repetitions,median_elapsed_ns,iqr_elapsed_ns,median_peak_rss_kib,n_nodes,n_arcs,n_components,n_layers,n_breakpoints,correctness_status,git_commit,topology,coefficient_class,rho,seed
campaign_b,gen_n1000_rho0.3_anti-correlated_seed5.pcf,hpac,11,345176.0,21376.0,13920.0,1000,312,688,849,848,agreed,2c83e501f034,mixed-forest,anti-correlated,0.3,5
campaign_b,gen_n1000_rho0.3_anti-correlated_seed5.pcf,pac,11,2067832.0,17372.5,13920.0,1000,312,688,849,848,agreed,2c83e501f034,mixed-forest,anti-correlated,0.3,5
campaign_b,gen_n1000_rho0.3_anti-correlated_seed5.pcf,rac,11,1103376.0,11734.5,13920.0,1000,312,688,849,848,agreed,2c83e501f034,mixed-forest,anti-correlated,0.3,5
campaign_b,gen_n1000_rho0.3_anti-correlated_seed6.pcf,dhpac,11,408357.0,7038.0,13760.0,1000,306,694,834,833,agreed,2c83e501f034,mixed-forest,anti-correlated,0.3,6
campaign_b,gen_n1000_rho0.3_anti-correlated_seed6.pcf,dpac,11,2244949.0,40404.0,13760.0,1000,306,694,834,833,agreed,2c83e501f034,mixed-forest,anti-correlated,0.3,6
campaign_b,gen_n1000_rho0.3_anti-correlated_seed6.pcf,hpac,11,317161.0,6329.5,13920.0,1000,306,694,834,833,agreed,2c83e501f034,mixed-forest,anti-correlated,0.3,6
campaign_b,gen_n1000_rho0.3_anti-correlated_seed6.pcf,pac,11,2008578.0,28556.0,13920.0,1000,306,694,834,833,agreed,2c83e501f034,mixed-forest,anti-correlated,0.3,6
campaign_b,gen_n1000_rho0.3_anti-correlated_seed6.pcf,rac,11,1022654.0,45620.5,13920.0,1000,306,694,834,833,agreed,2c83e501f034,mixed-forest,anti-correlated,0.3,6
campaign_b,gen_n1000_rho0.3_anti-correlated_seed7.pcf,dhpac,11,391078.0,4394.5,13920.0,1000,301,699,847,846,agreed,2c83e501f034,mixed-forest,anti-correlated,0.3,7
campaign_b,gen_n1000_rho0.3_anti-correlated_seed7.pcf,dpac,11,2197816.0,14959.0,13920.0,1000,301,699,847,846,agreed,2c83e501f034,mixed-forest,anti-correlated,0.3,7
campaign_b,gen_n1000_rho0.3_anti-correlated_seed7.pcf,hpac,11,335553.0,7280.5,13920.0,1000,301,699,847,846,agreed,2c83e501f034,mixed-forest,anti-correlated,0.3,7
campaign_b,gen_n1000_rho0.3_anti-correlated_seed7.pcf,pac,11,2036787.0,25741.0,13920.0,1000,301,699,847,846,agreed,2c83e501f034,mixed-forest,anti-correlated,0.3,7
campaign_b,gen_n1000_rho0.3_anti-correlated_seed7.pcf,rac,11,1043870.0,19328.0,13920.0,1000,301,699,847,846,agreed,2c83e501f034,mixed-forest,anti-correlated,0.3,7
campaign_b,gen_n1000_rho0.3_anti-correlated_seed8.pcf,dhpac,11,409704.0,3631.5,13920.0,1000,308,692,835,834,agreed,2c83e501f034,mixed-forest,anti-correlated,0.3,8
campaign_b,gen_n1000_rho0.3_anti-correlated_seed8.pcf,dpac,11,2199350.0,42234.5,13920.0,1000,308,692,835,834,agreed,2c83e501f034,mixed-forest,anti-correlated,0.3,8
campaign_b,gen_n1000_rho0.3_anti-correlated_seed8.pcf,hpac,11,346833.0,6886.0,13920.0,1000,308,692,835,834,agreed,2c83e501f034,mixed-forest,anti-correlated,0.3,8
campaign_b,gen_n1000_rho0.3_anti-correlated_seed8.pcf,pac,11,2077564.0,32824.0,13920.0,1000,308,692,835,834,agreed,2c83e501f034,mixed-forest,anti-correlated,0.3,8
campaign_b,gen_n1000_rho0.3_anti-correlated_seed8.pcf,rac,11,1110745.0,38585.0,13920.0,1000,308,692,835,834,agreed,2c83e501f034,mixed-forest,anti-correlated,0.3,8
campaign_b,gen_n1000_rho0.3_anti-correlated_seed9.pcf,dhpac,11,398872.0,9333.0,13920.0,1000,306,694,846,845,agreed,2c83e501f034,mixed-forest,anti-correlated,0.3,9
campaign_b,gen_n1000_rho0.3_anti-correlated_seed9.pcf,dpac,11,2235232.0,32494.0,13920.0,1000,306,694,846,845,agreed,2c83e501f034,mixed-forest,anti-correlated,0.3,9
campaign_b,gen_n1000_rho0.3_anti-correlated_seed9.pcf,hpac,11,334472.0,12529.5,14080.0,1000,306,694,846,845,agreed,2c83e501f034,mixed-forest,anti-correlated,0.3,9
campaign_b,gen_n1000_rho0.3_anti-correlated_seed9.pcf,pac,11,2072432.0,10675.0,14080.0,1000,306,694,846,845,agreed,2c83e501f034,mixed-forest,anti-correlated,0.3,9
campaign_b,gen_n1000_rho0.3_anti-correlated_seed9.pcf,rac,11,1082872.0,23686.0,14080.0,1000,306,694,846,845,agreed,2c83e501f034,mixed-forest,anti-correlated,0.3,9
