instance,n,layers_hpac,layers_fphpf,same_partition,same_breakpoints,hpac_median_ns,fphpf_solve_median_ns,ratio_fphpf_over_hpac
gen_n10000_rho0.3_anti-correlated_seed0.pcf,10000,8143,8143,True,True,3925019,7266946000,1851.442
gen_n10000_rho0.3_correlated_seed0.pcf,10000,7372,7372,True,True,4021114,6615436000,1645.175
gen_n10000_rho0.3_exact-ties_seed0.pcf,10000,1231,1231,True,True,3418432,1090071000,318.88
gen_n10000_rho0.3_independent-positive_seed0.pcf,10000,8320,8320,True,True,6113687,7826602000,1280.177
gen_n10000_rho0.3_independent-signed_seed0.pcf,10000,8362,8362,True,True,3919982,7545627000,1924.914
gen_n10000_rho0.3_near-ties_seed0.pcf,10000,438,438,True,True,5289924,422611000,79.89
gen_n10000_rho0.6_anti-correlated_seed0.pcf,10000,6737,6737,True,True,7471525,6365381000,851.952
gen_n10000_rho0.6_correlated_seed0.pcf,10000,6256,6256,True,True,8633358,6226215000,721.181
gen_n10000_rho0.6_exact-ties_seed0.pcf,10000,1723,1723,True,True,6252816,1764331000,282.166
gen_n10000_rho0.6_independent-positive_seed0.pcf,10000,6899,6899,True,True,7116296,6466402000,908.675
gen_n10000_rho0.6_independent-signed_seed0.pcf,10000,6926,6926,True,True,7214694,6560663000,909.347
gen_n10000_rho0.6_near-ties_seed0.pcf,10000,622,622,True,True,10253552,637282000,62.152
gen_n10000_rho0.9_anti-correlated_seed0.pcf,10000,5347,5347,True,True,16896517,5096481000,301.629
gen_n10000_rho0.9_correlated_seed0.pcf,10000,5075,5074,False,False,18571125,4857987000,261.588
gen_n10000_rho0.9_exact-ties_seed0.pcf,10000,1785,1785,True,True,18330600,1827685000,99.707
gen_n10000_rho0.9_independent-positive_seed0.pcf,10000,5407,5407,True,True,22977648,5255326000,228.715
gen_n10000_rho0.9_independent-signed_seed0.pcf,10000,5414,5414,True,True,25552800,5447827000,213.199
gen_n10000_rho0.9_near-ties_seed0.pcf,10000,696,696,True,True,16325374,723893000,44.342
gen_n10000_rho1.0_anti-correlated_seed0.pcf,10000,5034,5034,True,True,21492713,4971080000,231.291
gen_n10000_rho1.0_correlated_seed0.pcf,10000,4740,4740,True,True,20956863,4497376000,214.602
gen_n10000_rho1.0_exact-ties_seed0.pcf,10000,1784,1784,True,True,26155199,1796883000,68.701
gen_n10000_rho1.0_independent-positive_seed0.pcf,10000,5001,5001,True,True,25358832,5092074000,200.801
gen_n10000_rho1.0_independent-signed_seed0.pcf,10000,4997,4997,True,True,23282585,4846866000,208.176
gen_n10000_rho1.0_near-ties_seed0.pcf,10000,716,716,True,True,24034696,753857000,31.365
gen_n20000_rho0.3_anti-correlated_seed0.pcf,20000,15790,15790,True,True,7892920,30390082000,3850.296
gen_n20000_rho0.3_correlated_seed0.pcf,20000,13476,13476,True,True,7970165,25067502000,3145.167
gen_n20000_rho0.3_exact-ties_seed0.pcf,20000,2359,2359,True,True,6826840,4552815000,666.899
gen_n20000_rho0.3_independent-positive_seed0.pcf,20000,16347,16347,True,True,8358033,31215780000,3734.824
gen_n20000_rho0.3_independent-signed_seed0.pcf,20000,16670,16670,True,True,8587588,33128734000,3857.746
gen_n20000_rho0.3_near-ties_seed0.pcf,20000,586,586,True,True,7257588,1222344000,168.423
gen_n20000_rho0.6_anti-correlated_seed0.pcf,20000,13290,13290,True,True,14785055,26785735000,1811.676
gen_n20000_rho0.6_correlated_seed0.pcf,20000,11754,11754,True,True,14270973,23236700000,1628.249
gen_n20000_rho0.6_exact-ties_seed0.pcf,20000,3319,3319,True,True,15718903,7252371000,461.379
gen_n20000_rho0.6_independent-positive_seed0.pcf,20000,13612,13611,False,False,14761070,28336422000,1919.673
gen_n20000_rho0.6_independent-signed_seed0.pcf,20000,13716,13716,True,True,15439816,28845742000,1868.27
gen_n20000_rho0.6_near-ties_seed0.pcf,20000,793,793,True,True,14517158,1839935000,126.742
gen_n20000_rho0.9_anti-correlated_seed0.pcf,20000,10786,10786,True,True,38086217,22734843000,596.931
gen_n20000_rho0.9_correlated_seed0.pcf,20000,9633,9632,False,False,40433283,20051930000,495.926
gen_n20000_rho0.9_exact-ties_seed0.pcf,20000,3454,3454,True,True,36408745,7843151000,215.419
gen_n20000_rho0.9_independent-positive_seed0.pcf,20000,10684,10684,True,True,36237425,23121459000,638.055
gen_n20000_rho0.9_independent-signed_seed0.pcf,20000,10858,10858,True,True,33953838,23874238000,703.138
gen_n20000_rho0.9_near-ties_seed0.pcf,20000,974,974,True,True,34106564,2212766000,64.878
gen_n20000_rho1.0_anti-correlated_seed0.pcf,20000,9751,9751,True,True,45388707,21512979000,473.972
gen_n20000_rho1.0_correlated_seed0.pcf,20000,8861,8861,True,True,49009507,18431850000,376.087
gen_n20000_rho1.0_exact-ties_seed0.pcf,20000,3462,3462,True,True,55700022,7759361000,139.306
gen_n20000_rho1.0_independent-positive_seed0.pcf,20000,9775,9775,True,True,69919206,21636364000,309.448
gen_n20000_rho1.0_independent-signed_seed0.pcf,20000,9931,9931,True,True,68125906,21767707000,319.522
gen_n20000_rho1.0_near-ties_seed0.pcf,20000,1005,1005,True,True,55579387,2387329000,42.953
gen_n50000_rho0.9_anti-correlated_seed0.pcf,50000,25200,25200,True,True,107340927,160308325000,1493.45
gen_n50000_rho0.9_correlated_seed0.pcf,50000,21293,21286,False,False,113175602,130518655000,1153.24
gen_n50000_rho0.9_exact-ties_seed0.pcf,50000,8125,8125,True,True,94105995,52738751000,560.419
gen_n50000_rho0.9_independent-positive_seed0.pcf,50000,26334,26333,False,False,111611093,156958730000,1406.3
gen_n50000_rho0.9_independent-signed_seed0.pcf,50000,26695,26695,True,True,90609128,158383671000,1747.988
gen_n50000_rho0.9_near-ties_seed0.pcf,50000,1504,1504,True,True,91133826,9592207000,105.254
